snapshot_month,snapshot_at,our_product_id,our_product_title,our_category,our_product_url,our_price_ars,our_price_basis,competitor_domain,competitor_product_title,competitor_product_url,competitor_category,competitor_price_ars,competitor_price_basis,competitor_includes_personalization,title_match_key,match_type,price_gap_ars,price_gap_pct,coverage_status
2026-03,2026-03-28T13:38:30.823Z,promo_263904,Bolígrafo Clic Pen Best Value Tinta Azul,Escritura,https://diezypunto-web.vercel.app/producto/promo_263904,208.50,final,merch.com.ar,,,,,,,boligrafo clic pen best value tinta azul,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_277930,Boligrafo Clic Pen Best Value White,Escritura,https://diezypunto-web.vercel.app/producto/promo_277930,208.50,final,merch.com.ar,,,,,,,boligrafo clic pen best value white,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_272341,Boligrafo Clic Pen Best Value White - Tinta Azul,Escritura,https://diezypunto-web.vercel.app/producto/promo_272341,250.20,final,merch.com.ar,,,,,,,boligrafo clic pen best value white tinta azul,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_21388,Bolígrafo Color Soul,Escritura,https://diezypunto-web.vercel.app/producto/promo_21388,1112.00,final,merch.com.ar,,,,,,,boligrafo color soul,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,5046,Boligrafo COSMIC,Escritura,https://diezypunto-web.vercel.app/producto/5046,488.12,final,merch.com.ar,Boligrafo COSMIC,https://merch.com.ar/producto/boligrafo-cosmic/,Bolígrafos,736.08,plus_vat,unknown,boligrafo cosmic,exact_normalized_title,-247.96,-33.6866,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,promo_495,Bolígrafo Curved,Escritura,https://diezypunto-web.vercel.app/producto/promo_495,347.50,final,merch.com.ar,,,,,,,boligrafo curved,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_444,Bolígrafo Curved Touch,Escritura,https://diezypunto-web.vercel.app/producto/promo_444,500.40,final,merch.com.ar,,,,,,,boligrafo curved touch,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,cdo_BP326,"Bolígrafo de bambú ""BARRY""",Sustentables,https://diezypunto-web.vercel.app/producto/cdo_BP326,770.00,final,merch.com.ar,,,,,,,boligrafo de bambu barry,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,cdo_BP192,"BOLÍGRAFO DE BAMBÚ ""NAGANO PEN""",Escritura,https://diezypunto-web.vercel.app/producto/cdo_BP192,630.00,final,merch.com.ar,,,,,,,boligrafo de bambu nagano pen,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,cdo_BP298,"BOLIGRAFO DE BAMBÚ ""VERYWOOD""",Sustentables,https://diezypunto-web.vercel.app/producto/cdo_BP298,252.00,final,merch.com.ar,,,,,,,boligrafo de bambu verywood,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,4771,Boligrafo Desert,Eco,https://diezypunto-web.vercel.app/producto/4771,451.87,final,merch.com.ar,Boligrafo Desert,https://merch.com.ar/producto/boligrafo-desert/,Bolígrafos,681.42,plus_vat,unknown,boligrafo desert,exact_normalized_title,-229.55,-33.6870,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,5534,Boligrafo DS8  TRUE BIOTIC,Eco,https://diezypunto-web.vercel.app/producto/5534,6702.49,final,merch.com.ar,Boligrafo DS8  TRUE BIOTIC,https://merch.com.ar/producto/boligrafo-ds8-true-biotic/,Bolígrafos,10107.36,plus_vat,unknown,boligrafo ds8 true biotic,exact_normalized_title,-3404.87,-33.6870,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,promo_258059,Bolígrafo Eco Aluminio Rubber,Escritura,https://diezypunto-web.vercel.app/producto/promo_258059,1125.90,final,merch.com.ar,,,,,,,boligrafo eco aluminio rubber,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_215008,Bolígrafo Eco Cereal Best Value,Escritura,https://diezypunto-web.vercel.app/producto/promo_215008,0.00,final,merch.com.ar,,,,,,,boligrafo eco cereal best value,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_67084,Bolígrafo Eco Cereal Select,Escritura,https://diezypunto-web.vercel.app/producto/promo_67084,514.30,final,merch.com.ar,,,,,,,boligrafo eco cereal select,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_201061,Bolígrafo Eco Cereal Tinta Azul,Escritura,https://diezypunto-web.vercel.app/producto/promo_201061,514.30,final,merch.com.ar,,,,,,,boligrafo eco cereal tinta azul,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_259787,Bolígrafo Eco Cereal Tinta Negra,Escritura,https://diezypunto-web.vercel.app/producto/promo_259787,514.30,final,merch.com.ar,,,,,,,boligrafo eco cereal tinta negra,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_54436,Bolígrafo Ecos White,Escritura,https://diezypunto-web.vercel.app/producto/promo_54436,333.60,final,merch.com.ar,,,,,,,boligrafo ecos white,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_216925,Bolígrafo Ecos White Tinta Azul,Escritura,https://diezypunto-web.vercel.app/producto/promo_216925,333.60,final,merch.com.ar,,,,,,,boligrafo ecos white tinta azul,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_49171,Bolígrafo Ecos White Touch,Escritura,https://diezypunto-web.vercel.app/producto/promo_49171,486.50,final,merch.com.ar,,,,,,,boligrafo ecos white touch,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_240911,Bolígrafo Ecos White Touch - Blanco y Verde Claro,Escritura,https://diezypunto-web.vercel.app/producto/promo_240911,597.70,final,merch.com.ar,,,,,,,boligrafo ecos white touch blanco y verde claro,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,5879,Boligrafo Electra,Escritura,https://diezypunto-web.vercel.app/producto/5879,406.24,final,merch.com.ar,Boligrafo Electra,https://merch.com.ar/producto/boligrafo-electra/,Bolígrafos,612.62,plus_vat,unknown,boligrafo electra,exact_normalized_title,-206.38,-33.6881,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,4414,Boligrafo Foster,Escritura,https://diezypunto-web.vercel.app/producto/4414,276.24,final,merch.com.ar,Boligrafo Foster,https://merch.com.ar/producto/boligrafo-foster/,Bolígrafos,416.58,plus_vat,unknown,boligrafo foster,exact_normalized_title,-140.34,-33.6886,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,promo_216923,Bolígrafo Front Desk Square,Escritura,https://diezypunto-web.vercel.app/producto/promo_216923,2168.40,final,merch.com.ar,,,,,,,boligrafo front desk square,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,5459,Boligrafo FUSSEN,Escritura,https://diezypunto-web.vercel.app/producto/5459,2687.49,final,merch.com.ar,Boligrafo FUSSEN,https://merch.com.ar/producto/boligrafo-fussen/,Bolígrafos,4052.74,plus_vat,unknown,boligrafo fussen,exact_normalized_title,-1365.25,-33.6871,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,5467,Boligrafo KERPEN,Escritura,https://diezypunto-web.vercel.app/producto/5467,3439.99,final,merch.com.ar,Boligrafo KERPEN,https://merch.com.ar/producto/boligrafo-kerpen/,Bolígrafos,5187.51,plus_vat,unknown,boligrafo kerpen,exact_normalized_title,-1747.52,-33.6871,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,5884,Boligrafo Mallorca,Escritura,https://diezypunto-web.vercel.app/producto/5884,162.49,final,merch.com.ar,Boligrafo Mallorca,https://merch.com.ar/producto/boligrafo-mallorca/,Bolígrafos,245.04,plus_vat,unknown,boligrafo mallorca,exact_normalized_title,-82.55,-33.6884,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,promo_505,Bolígrafo Mercuri,Escritura,https://diezypunto-web.vercel.app/producto/promo_505,437.85,final,merch.com.ar,,,,,,,boligrafo mercuri,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,5878,Boligrafo Metronome,Escritura,https://diezypunto-web.vercel.app/producto/5878,481.24,final,merch.com.ar,Boligrafo Metronome,https://merch.com.ar/producto/boligrafo-metronome/,Bolígrafos,725.72,plus_vat,unknown,boligrafo metronome,exact_normalized_title,-244.48,-33.6879,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,5224,Boligrafo NOLAN Tinta Azul,Escritura,https://diezypunto-web.vercel.app/producto/5224,327.49,final,merch.com.ar,Boligrafo NOLAN Tinta Azul,https://merch.com.ar/producto/boligrafo-nolan-tinta-azul/,Bolígrafos,493.86,plus_vat,unknown,boligrafo nolan tinta azul,exact_normalized_title,-166.37,-33.6877,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,5788,Boligrafo Omega,Escritura,https://diezypunto-web.vercel.app/producto/5788,456.24,final,merch.com.ar,Boligrafo Omega,https://merch.com.ar/producto/boligrafo-omega/,Bolígrafos,688.02,plus_vat,unknown,boligrafo omega,exact_normalized_title,-231.78,-33.6880,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,4415,Boligrafo Organic,Escritura,https://diezypunto-web.vercel.app/producto/4415,432.49,final,merch.com.ar,Boligrafo Organic,https://merch.com.ar/producto/boligrafo-organic/,Bolígrafos,652.20,plus_vat,unknown,boligrafo organic,exact_normalized_title,-219.71,-33.6875,matched_with_price
2026-03,2026-03-28T13:38:30.823Z,promo_241047,Boligrafo Paper Mate Economy Gel x 3,Escritura,https://diezypunto-web.vercel.app/producto/promo_241047,2123.00,final,merch.com.ar,,,,,,,boligrafo paper mate economy gel x 3,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_1605,Bolígrafo Paper Mate InkJoy 300RT,Escritura,https://diezypunto-web.vercel.app/producto/promo_1605,1013.31,final,merch.com.ar,,,,,,,boligrafo paper mate inkjoy 300rt,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_242675,Bolígrafo Paper Mate KM 100 x 3,Escolares,https://diezypunto-web.vercel.app/producto/promo_242675,1801.21,final,merch.com.ar,,,,,,,boligrafo paper mate km 100 x 3,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_201602,Bolígrafo Parker IM,Escritura,https://diezypunto-web.vercel.app/producto/promo_201602,44848.85,final,merch.com.ar,,,,,,,boligrafo parker im,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_466,Bolígrafo Parker IM,Escritura,https://diezypunto-web.vercel.app/producto/promo_466,57445.35,final,merch.com.ar,,,,,,,boligrafo parker im,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_465,Bolígrafo Parker IM,Escritura,https://diezypunto-web.vercel.app/producto/promo_465,58211.97,final,merch.com.ar,,,,,,,boligrafo parker im,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_59548,Bolígrafo Parker IM Achromatic,Escritura,https://diezypunto-web.vercel.app/producto/promo_59548,53818.57,final,merch.com.ar,,,,,,,boligrafo parker im achromatic,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_278456,Bolígrafo Parker IM Monochromatic,Escritura,https://diezypunto-web.vercel.app/producto/promo_278456,80727.98,final,merch.com.ar,,,,,,,boligrafo parker im monochromatic,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_280476,Boligrafo Parker IM Vibrant Rings,Escritura,https://diezypunto-web.vercel.app/producto/promo_280476,58119.14,final,merch.com.ar,,,,,,,boligrafo parker im vibrant rings,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_463,Bolígrafo Parker Jotter,Escritura,https://diezypunto-web.vercel.app/producto/promo_463,35433.28,final,merch.com.ar,,,,,,,boligrafo parker jotter,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_30432,Bolígrafo Parker Jotter Original,Escritura,https://diezypunto-web.vercel.app/producto/promo_30432,15559.82,final,merch.com.ar,,,,,,,boligrafo parker jotter original,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_479,Bolígrafo Parker Sonnet,Escritura,https://diezypunto-web.vercel.app/producto/promo_479,227670.01,final,merch.com.ar,,,,,,,boligrafo parker sonnet,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_478,Bolígrafo Parker Sonnet,Escritura,https://diezypunto-web.vercel.app/producto/promo_478,157092.26,final,merch.com.ar,,,,,,,boligrafo parker sonnet,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_477,Bolígrafo Parker Sonnet,Escritura,https://diezypunto-web.vercel.app/producto/promo_477,169945.52,final,merch.com.ar,,,,,,,boligrafo parker sonnet,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,promo_196530,Bolígrafo Parker Urban,Escritura,https://diezypunto-web.vercel.app/producto/promo_196530,59308.12,final,merch.com.ar,,,,,,,boligrafo parker urban,none,,,no_title_match
